url,subject,question,optionA,optionB,optionC,optionD,answer,reason,status,problem
https://myschoolgist.com/news/jupeb-past-questions/,Unknown,,,,,,,,REJECTED,"question, optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/jupeb-past-questions/,Unknown,"partnering universities led by the University of Lagos. Prepare for JAMB, WAEC, NECO, BECE, NCEE and Post UTME Practise CBT Exams on Mobile or PC Prepare for Post UTME, WAEC, NECO, JAMB UTME, Junior WAEC (BECE) and Common Entrance (NCEE) with the MySchoolGist CBT App and Software. Use it on Android, iPhone or Windows to practise past questions anytime. Android App iPhone App Windows 10+ Windows 7 & 8 Need help choosing the right version? Chat with us on WhatsApp . SEE ALSO: JUPEB Affiliate Universities . DOWNLOAD JUPEB Past Questions Click on the link representing the subject(s) of your choice to access the past questions: Subject 2015 2019 2020 Accounting Download PDF Download PDF Download PDF Agricultural Science Download PDF MCQ & Essay MCQ & Essay Practical Biology Download PDF MCQ & Essay MCQ & Essay Practical Business Studies Download PDF Download PDF Download PDF Chemistry Download PDF MCQ & Essay MCQ & Essay Practical Christian Religious Studies Download PDF Download PDF Download PDF Economics Download PDF Download PDF Download PDF French Download PDF MCQ & Essay MCQ & Essay Geography Download PDF Download PDF Download PDF Government Download PDF Download PDF Download PDF History Download PDF Download PDF Download PDF Igbo – – Download PDF Islamic Religious Studies Download PDF Download PDF Download PDF Literature in English Download PDF Download PDF Download PDF Mathematics Download PDF Download PDF Download PDF Music Download PDF – MCQ & Essay Physics Download PDF MCQ & Essay MCQ & Essay Practical Visual Arts Download PDF – MCQ & Essay Practical Yoruba Download PDF – – For more past JUPEB past questions, check https://jupe",,Timetable,,Joint Universities Preliminary Examinations Board (JUPE,,,REJECTED,"optionA, optionC, answer"
https://myschoolgist.com/news/jupeb-past-questions/,Unknown,,,,,,,,REJECTED,"question, optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,,,,,,,,REJECTED,"question, optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,"Check WASSCE School Candidate Results Online or by SMS By Olusegun Fapohunda August 5, 2026 Time to Rea",,,,"Open the WAEC Result Checker PIN portal . Enter the required examination details. Access the Result Checker PIN shown on the portal. Keep the PIN and serial number safe for result checking. Schools may also share these steps with their candidates so each person can obtain the required access details. How Can a Candidate Buy Another WAEC Result Checker PIN? A candidate whose PIN has been exhausted can buy another Result Checker PIN through the WAEC Request Portal. Visit the WAEC Request Portal . Wait for the transaction reference to appear. Select ""Request For Service"" under ""Request Type"". Choose ""Sale of WAEC Direct Result Checker"". Enter the required name, phone number and email address. Pay ₦4,",,,REJECTED,"optionA, optionB, optionC, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,"Receive the new PIN after payment. The new PIN should be stored carefully because it will be required with the serial number during online checking. How to Check the 2026 WAEC Result Online Candidates who have their examination number, PIN and serial number can check the result through the WAEC Direct portal. Visit the WAEC Direct Result Portal . Enter the ten-digit examination number. Select 2026 as the examination year. Choose ""School Candidate Result"" as the examination type. Enter the e-PIN and serial number. Select ""Submit"" and allow the page to loa",,,,"Candidates should check each entry before submission. Repeatedly pressing the submit button is unnecessary while the portal is processing the request. How to Check the 2026 WAEC Result by SMS Candidates may use SMS where internet access is slow or unavailable. The text must follow the stated format: WAECExamNumberPIN*ExamYear The completed message should be sent to 32327 through MTN, Airtel or Glo. Each message costs ₦",,,REJECTED,"optionA, optionB, optionC, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,"For example, a candidate with examination number 4250101001 and PIN 123456789012 will sen",,,"Information about claims of result changes is covered in the WAEC result upgrade guide . A result may affect the next application step, but it does not end the candidate's education plans. Some candidates sit for WAEC more than once before meeting the grades required for their chosen path. Common Questions About WAEC Results 2026 How Many Digits Are in a WAEC Examination Number? A WAEC examination number has ten digits. It is formed from the examination centre number and the candidate's seat number. Can a Candidate Check the Result Without Internet Access? Yes. A candidate can send the required SMS format to 32327 on MTN, Airtel or Glo. How Much Does WAEC SMS Result Checking Cost? Each result checking SMS costs ₦","com. The email should contain: Exact error message displayed Candidate's examination number Examination year Examination type, stated as School Candidate The message should be brief and should contain the details needed to identify the failed request. What Do Held, Withheld and Outstanding Mean? Some candidates may see terms such as held, withheld or outstanding instead of a complete result. The guide to WAEC result status meanings explains these terms and the status shown beside affected subjects or results. A candidate whose result has been held back can submit a complaint through the official WAEC complaints page . What Should a Candidate Do After Checking the Result? A candidate who has viewed the result can apply for a digital certificate through the WAEC Digital Certificate Platform guide . The printed certificate will be ready for collection from the candidate's school in about three months. Candidates whose grades do not meet their plans may read what to do after failing WAE",,,REJECTED,"optionA, optionB, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,,,,,,,,REJECTED,"question, optionA, optionB, optionC, optionD, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,When Will the Printed WAEC Certificate Be Ready? The printed copy will be ready for collection from the candidate's school in about three months. Alternative admission via JUPEB/IJMB programmes (SPONSORE,,Enjoy Low Fees! Call 08033006849 Now! Search MySchoolGist ... Search Tagge,Results Statistics,"West African Examinations Council : WAEC Nigeria Share This Post: If this post helped you, share it with others! Use the buttons below to spread the word! WhatsApp X (Twitter) Facebook Suggested Articles Failed 2026 WAEC May/June Exam? Urgent Solution West African Examinations Council (WAE",,,REJECTED,"optionA, answer"
https://myschoolgist.com/news/check-waec-result-waec-may-june-result/,Unknown,"Pass Rates, Withheld Results and Candidate Figures WAEC GCE Registration 2026 Second Series: Fee, PIN Deadline and CBT Exam Guide [UPDATED] WAEC GCE Registration Closing Date/Deadline 2026 West African Examinations Council (WAE",,,"WASSCE 2026 Result Checker PIN: How School Candidates Can Get It WAEC Result: Meaning of Held or Witheld or Outstanding and Other Terms Meet The Author Olusegun Fapohunda is the founder and editor of MySchoolGist, with over a decade of experience in education publishing. He covers education updates, admission notices, examination news, scholarships, career opportunities and related public information. Connect with him on X (formerly Twitter) .",,,,REJECTED,"optionA, optionB, optionD, answer"
